000: Acc-tr:  61.60, Acc-val:  61.05, L-tr: 1.0634, L-val: 1.0958
001: Acc-tr:  69.36, Acc-val:  66.62, L-tr: 0.8749, L-val: 0.9485
002: Acc-tr:  71.29, Acc-val:  68.66, L-tr: 0.8570, L-val: 0.9382
003: Acc-tr:  76.68, Acc-val:  72.94, L-tr: 0.6839, L-val: 0.8149
004: Acc-tr:  82.17, Acc-val:  77.22, L-tr: 0.5168, L-val: 0.6744
005: Acc-tr:  83.92, Acc-val:  77.87, L-tr: 0.4650, L-val: 0.6476
006: Acc-tr:  83.79, Acc-val:  77.82, L-tr: 0.4829, L-val: 0.7098
007: Acc-tr:  87.06, Acc-val:  79.87, L-tr: 0.3746, L-val: 0.6391
008: Acc-tr:  86.91, Acc-val:  78.62, L-tr: 0.3833, L-val: 0.6884
009: Acc-tr:  84.67, Acc-val:  76.83, L-tr: 0.4563, L-val: 0.8075
010: Acc-tr:  83.30, Acc-val:  75.32, L-tr: 0.4975, L-val: 0.8551
011: Acc-tr:  87.90, Acc-val:  78.35, L-tr: 0.3368, L-val: 0.7400
012: Acc-tr:  87.86, Acc-val:  78.25, L-tr: 0.3413, L-val: 0.7556
013: Acc-tr:  93.02, Acc-val:  81.46, L-tr: 0.1979, L-val: 0.6048
014: Acc-tr:  93.79, Acc-val:  82.02, L-tr: 0.1759, L-val: 0.6041
015: Acc-tr:  91.03, Acc-val:  79.94, L-tr: 0.2439, L-val: 0.6862
016: Acc-tr:  89.85, Acc-val:  78.26, L-tr: 0.2911, L-val: 0.7828
017: Acc-tr:  92.42, Acc-val:  80.17, L-tr: 0.2176, L-val: 0.7575
018: Acc-tr:  91.60, Acc-val:  79.60, L-tr: 0.2411, L-val: 0.7680
019: Acc-tr:  91.20, Acc-val:  79.25, L-tr: 0.2437, L-val: 0.8110
020: Acc-tr:  94.84, Acc-val:  81.69, L-tr: 0.1448, L-val: 0.6862
021: Acc-tr:  90.96, Acc-val:  78.68, L-tr: 0.2501, L-val: 0.8543
022: Acc-tr:  95.06, Acc-val:  82.20, L-tr: 0.1410, L-val: 0.6658
023: Acc-tr:  93.42, Acc-val:  79.87, L-tr: 0.1795, L-val: 0.7587
024: Acc-tr:  92.46, Acc-val:  79.30, L-tr: 0.2138, L-val: 0.8181
025: Acc-tr:  93.27, Acc-val:  80.45, L-tr: 0.1893, L-val: 0.8115
026: Acc-tr:  93.70, Acc-val:  80.31, L-tr: 0.1769, L-val: 0.7538
027: Acc-tr:  92.04, Acc-val:  79.14, L-tr: 0.2331, L-val: 0.8479
028: Acc-tr:  93.53, Acc-val:  79.96, L-tr: 0.1887, L-val: 0.8022
029: Acc-tr:  95.15, Acc-val:  81.31, L-tr: 0.1370, L-val: 0.7402
030: Acc-tr:  95.94, Acc-val:  81.76, L-tr: 0.1156, L-val: 0.7148
031: Acc-tr:  94.84, Acc-val:  80.86, L-tr: 0.1526, L-val: 0.7792
032: Acc-tr:  93.61, Acc-val:  79.66, L-tr: 0.1818, L-val: 0.8155
033: Acc-tr:  93.72, Acc-val:  80.33, L-tr: 0.1753, L-val: 0.8101
034: Acc-tr:  92.23, Acc-val:  78.03, L-tr: 0.2248, L-val: 0.9363
035: Acc-tr:  94.58, Acc-val:  80.29, L-tr: 0.1488, L-val: 0.8281
036: Acc-tr:  93.81, Acc-val:  79.60, L-tr: 0.1739, L-val: 0.8407
037: Acc-tr:  95.23, Acc-val:  80.40, L-tr: 0.1371, L-val: 0.8078
038: Acc-tr:  96.97, Acc-val:  82.60, L-tr: 0.0891, L-val: 0.6633
039: Acc-tr:  94.07, Acc-val:  80.41, L-tr: 0.1708, L-val: 0.8692
040: Acc-tr:  96.46, Acc-val:  81.92, L-tr: 0.1036, L-val: 0.7363
041: Acc-tr:  93.28, Acc-val:  79.34, L-tr: 0.1938, L-val: 0.9179
042: Acc-tr:  96.49, Acc-val:  81.33, L-tr: 0.1016, L-val: 0.7896
043: Acc-tr:  91.25, Acc-val:  77.57, L-tr: 0.2734, L-val: 1.0357
044: Acc-tr:  94.48, Acc-val:  79.78, L-tr: 0.1546, L-val: 0.8533
045: Acc-tr:  94.23, Acc-val:  78.92, L-tr: 0.1690, L-val: 0.9170
046: Acc-tr:  93.80, Acc-val:  79.78, L-tr: 0.1750, L-val: 0.8721
047: Acc-tr:  97.24, Acc-val:  82.83, L-tr: 0.0797, L-val: 0.7220
048: Acc-tr:  95.23, Acc-val:  81.39, L-tr: 0.1360, L-val: 0.7763
049: Acc-tr:  91.95, Acc-val:  77.15, L-tr: 0.2340, L-val: 0.9451
050: Acc-tr:  94.55, Acc-val:  79.97, L-tr: 0.1551, L-val: 0.8656
051: Acc-tr:  94.57, Acc-val:  80.64, L-tr: 0.1543, L-val: 0.8221
052: Acc-tr:  95.27, Acc-val:  80.41, L-tr: 0.1341, L-val: 0.8102
053: Acc-tr:  93.91, Acc-val:  80.11, L-tr: 0.1718, L-val: 0.8040
054: Acc-tr:  95.60, Acc-val:  80.89, L-tr: 0.1252, L-val: 0.8144
055: Acc-tr:  95.74, Acc-val:  81.14, L-tr: 0.1230, L-val: 0.7662
056: Acc-tr:  95.12, Acc-val:  80.33, L-tr: 0.1438, L-val: 0.8709
057: Acc-tr:  96.89, Acc-val:  81.84, L-tr: 0.0896, L-val: 0.7381
058: Acc-tr:  94.27, Acc-val:  80.25, L-tr: 0.1630, L-val: 0.7859
059: Acc-tr:  94.76, Acc-val:  80.11, L-tr: 0.1410, L-val: 0.8165
060: Acc-tr:  87.04, Acc-val:  74.44, L-tr: 0.3940, L-val: 1.1188
061: Acc-tr:  96.56, Acc-val:  81.65, L-tr: 0.0988, L-val: 0.7576
062: Acc-tr:  95.62, Acc-val:  81.06, L-tr: 0.1246, L-val: 0.8400
063: Acc-tr:  96.06, Acc-val:  81.10, L-tr: 0.1107, L-val: 0.7676
064: Acc-tr:  92.17, Acc-val:  77.91, L-tr: 0.2216, L-val: 0.9558
065: Acc-tr:  97.03, Acc-val:  82.01, L-tr: 0.0874, L-val: 0.7513
066: Acc-tr:  95.51, Acc-val:  81.00, L-tr: 0.1251, L-val: 0.8203
067: Acc-tr:  98.10, Acc-val:  83.55, L-tr: 0.0551, L-val: 0.6994
068: Acc-tr:  97.05, Acc-val:  82.37, L-tr: 0.0894, L-val: 0.7874
069: Acc-tr:  95.85, Acc-val:  80.72, L-tr: 0.1203, L-val: 0.8125
070: Acc-tr:  95.47, Acc-val:  80.53, L-tr: 0.1296, L-val: 0.8035
071: Acc-tr:  96.44, Acc-val:  81.41, L-tr: 0.1008, L-val: 0.7349
072: Acc-tr:  95.62, Acc-val:  80.52, L-tr: 0.1237, L-val: 0.8163
073: Acc-tr:  95.68, Acc-val:  81.25, L-tr: 0.1256, L-val: 0.8016
074: Acc-tr:  97.05, Acc-val:  82.38, L-tr: 0.0853, L-val: 0.7265
075: Acc-tr:  92.43, Acc-val:  78.40, L-tr: 0.2165, L-val: 0.9135
076: Acc-tr:  95.42, Acc-val:  80.83, L-tr: 0.1289, L-val: 0.8051
077: Acc-tr:  93.91, Acc-val:  78.86, L-tr: 0.1878, L-val: 0.9726
078: Acc-tr:  93.89, Acc-val:  79.74, L-tr: 0.1763, L-val: 0.8602
079: Acc-tr:  94.77, Acc-val:  79.79, L-tr: 0.1507, L-val: 0.9127
080: Acc-tr:  91.59, Acc-val:  78.01, L-tr: 0.2711, L-val: 1.0994
081: Acc-tr:  94.55, Acc-val:  80.52, L-tr: 0.1544, L-val: 0.8725
082: Acc-tr:  97.56, Acc-val:  82.22, L-tr: 0.0720, L-val: 0.7617
083: Acc-tr:  93.31, Acc-val:  78.76, L-tr: 0.1977, L-val: 0.9275
084: Acc-tr:  96.99, Acc-val:  82.03, L-tr: 0.0861, L-val: 0.7278
085: Acc-tr:  95.04, Acc-val:  80.13, L-tr: 0.1470, L-val: 0.8670
086: Acc-tr:  95.09, Acc-val:  80.77, L-tr: 0.1396, L-val: 0.8122
087: Acc-tr:  96.05, Acc-val:  81.17, L-tr: 0.1134, L-val: 0.7976
088: Acc-tr:  97.17, Acc-val:  82.33, L-tr: 0.0822, L-val: 0.7329
089: Acc-tr:  89.00, Acc-val:  77.24, L-tr: 0.3871, L-val: 1.1784
090: Acc-tr:  97.17, Acc-val:  81.58, L-tr: 0.0836, L-val: 0.7009
091: Acc-tr:  96.58, Acc-val:  81.77, L-tr: 0.0987, L-val: 0.7755
092: Acc-tr:  96.17, Acc-val:  81.25, L-tr: 0.1086, L-val: 0.7715
093: Acc-tr:  96.81, Acc-val:  81.40, L-tr: 0.0928, L-val: 0.7663
094: Acc-tr:  94.89, Acc-val:  80.64, L-tr: 0.1507, L-val: 0.8553
095: Acc-tr:  95.36, Acc-val:  80.30, L-tr: 0.1306, L-val: 0.8685
096: Acc-tr:  86.42, Acc-val:  74.48, L-tr: 0.4422, L-val: 1.2673
097: Acc-tr:  94.86, Acc-val:  80.32, L-tr: 0.1471, L-val: 0.8274
098: Acc-tr:  95.82, Acc-val:  81.13, L-tr: 0.1205, L-val: 0.8251
099: Acc-tr:  94.72, Acc-val:  80.44, L-tr: 0.1533, L-val: 0.8676
100: Acc-tr:  96.29, Acc-val:  81.50, L-tr: 0.1080, L-val: 0.7473
101: Acc-tr:  96.52, Acc-val:  81.81, L-tr: 0.0986, L-val: 0.7931
102: Acc-tr:  96.95, Acc-val:  82.47, L-tr: 0.0872, L-val: 0.7272
103: Acc-tr:  95.38, Acc-val:  80.25, L-tr: 0.1328, L-val: 0.8683
104: Acc-tr:  95.38, Acc-val:  80.63, L-tr: 0.1319, L-val: 0.8004
105: Acc-tr:  95.03, Acc-val:  80.46, L-tr: 0.1436, L-val: 0.8192
106: Acc-tr:  95.10, Acc-val:  79.74, L-tr: 0.1426, L-val: 0.9041
107: Acc-tr:  93.56, Acc-val:  79.51, L-tr: 0.1888, L-val: 0.8981
108: Acc-tr:  95.66, Acc-val:  81.03, L-tr: 0.1225, L-val: 0.7901
109: Acc-tr:  95.67, Acc-val:  81.12, L-tr: 0.1250, L-val: 0.8170
110: Acc-tr:  97.79, Acc-val:  82.90, L-tr: 0.0639, L-val: 0.7270
111: Acc-tr:  97.45, Acc-val:  82.63, L-tr: 0.0743, L-val: 0.6983
112: Acc-tr:  95.66, Acc-val:  80.66, L-tr: 0.1236, L-val: 0.8431
113: Acc-tr:  96.13, Acc-val:  81.08, L-tr: 0.1116, L-val: 0.8416
114: Acc-tr:  97.07, Acc-val:  82.48, L-tr: 0.0836, L-val: 0.7480
115: Acc-tr:  95.42, Acc-val:  81.03, L-tr: 0.1301, L-val: 0.8048
116: Acc-tr:  97.23, Acc-val:  82.33, L-tr: 0.0810, L-val: 0.7392
117: Acc-tr:  94.18, Acc-val:  79.64, L-tr: 0.1693, L-val: 0.8839
118: Acc-tr:  95.70, Acc-val:  81.06, L-tr: 0.1194, L-val: 0.8283
119: Acc-tr:  96.56, Acc-val:  81.53, L-tr: 0.0979, L-val: 0.7776
120: Acc-tr:  95.39, Acc-val:  81.41, L-tr: 0.1343, L-val: 0.8339
121: Acc-tr:  95.07, Acc-val:  80.68, L-tr: 0.1462, L-val: 0.9162
122: Acc-tr:  95.50, Acc-val:  80.84, L-tr: 0.1239, L-val: 0.7735
123: Acc-tr:  96.73, Acc-val:  82.35, L-tr: 0.0930, L-val: 0.7300
124: Acc-tr:  93.63, Acc-val:  79.04, L-tr: 0.1959, L-val: 0.9433
125: Acc-tr:  90.94, Acc-val:  76.71, L-tr: 0.2708, L-val: 1.0702
126: Acc-tr:  94.16, Acc-val:  79.61, L-tr: 0.1683, L-val: 0.8877
127: Acc-tr:  96.77, Acc-val:  81.94, L-tr: 0.0932, L-val: 0.7624
128: Acc-tr:  94.64, Acc-val:  80.18, L-tr: 0.1650, L-val: 0.9517
129: Acc-tr:  92.95, Acc-val:  78.33, L-tr: 0.2155, L-val: 0.9335
130: Acc-tr:  94.60, Acc-val:  79.82, L-tr: 0.1562, L-val: 0.8882
131: Acc-tr:  96.58, Acc-val:  81.78, L-tr: 0.0987, L-val: 0.7381
132: Acc-tr:  96.38, Acc-val:  81.25, L-tr: 0.1049, L-val: 0.8171
133: Acc-tr:  94.48, Acc-val:  79.62, L-tr: 0.1632, L-val: 0.9138
134: Acc-tr:  97.20, Acc-val:  81.25, L-tr: 0.0777, L-val: 0.8021
135: Acc-tr:  92.39, Acc-val:  78.37, L-tr: 0.2623, L-val: 1.0670
136: Acc-tr:  95.12, Acc-val:  80.06, L-tr: 0.1461, L-val: 0.8756
137: Acc-tr:  92.45, Acc-val:  77.78, L-tr: 0.2352, L-val: 0.9980
138: Acc-tr:  94.20, Acc-val:  79.35, L-tr: 0.1632, L-val: 0.9206
139: Acc-tr:  96.18, Acc-val:  81.61, L-tr: 0.1098, L-val: 0.8017
140: Acc-tr:  96.70, Acc-val:  81.82, L-tr: 0.0958, L-val: 0.7577
141: Acc-tr:  96.37, Acc-val:  80.81, L-tr: 0.1075, L-val: 0.8551
142: Acc-tr:  97.15, Acc-val:  82.32, L-tr: 0.0833, L-val: 0.7624
143: Acc-tr:  93.87, Acc-val:  79.21, L-tr: 0.1766, L-val: 0.9093
144: Acc-tr:  96.86, Acc-val:  81.66, L-tr: 0.0874, L-val: 0.7784
145: Acc-tr:  95.87, Acc-val:  80.69, L-tr: 0.1193, L-val: 0.7876
146: Acc-tr:  96.07, Acc-val:  80.67, L-tr: 0.1145, L-val: 0.8287
147: Acc-tr:  94.66, Acc-val:  80.08, L-tr: 0.1553, L-val: 0.9099
148: Acc-tr:  96.91, Acc-val:  82.02, L-tr: 0.0921, L-val: 0.6984
149: Acc-tr:  96.76, Acc-val:  82.19, L-tr: 0.0945, L-val: 0.7523
150: Acc-tr:  99.99, Acc-val:  85.65, L-tr: 0.0051, L-val: 0.5839
151: Acc-tr: 100.00, Acc-val:  85.74, L-tr: 0.0031, L-val: 0.5936
152: Acc-tr: 100.00, Acc-val:  85.83, L-tr: 0.0023, L-val: 0.5948
153: Acc-tr: 100.00, Acc-val:  85.78, L-tr: 0.0018, L-val: 0.6017
154: Acc-tr: 100.00, Acc-val:  85.76, L-tr: 0.0016, L-val: 0.6048
155: Acc-tr: 100.00, Acc-val:  85.77, L-tr: 0.0014, L-val: 0.6136
156: Acc-tr: 100.00, Acc-val:  85.85, L-tr: 0.0012, L-val: 0.6146
157: Acc-tr: 100.00, Acc-val:  85.70, L-tr: 0.0011, L-val: 0.6097
158: Acc-tr: 100.00, Acc-val:  85.68, L-tr: 0.0010, L-val: 0.6122
159: Acc-tr: 100.00, Acc-val:  85.85, L-tr: 0.0009, L-val: 0.6131
160: Acc-tr: 100.00, Acc-val:  85.82, L-tr: 0.0010, L-val: 0.6165
161: Acc-tr: 100.00, Acc-val:  85.99, L-tr: 0.0008, L-val: 0.6168
162: Acc-tr: 100.00, Acc-val:  85.92, L-tr: 0.0008, L-val: 0.6169
163: Acc-tr: 100.00, Acc-val:  85.94, L-tr: 0.0007, L-val: 0.6162
164: Acc-tr: 100.00, Acc-val:  85.85, L-tr: 0.0007, L-val: 0.6187
165: Acc-tr: 100.00, Acc-val:  85.91, L-tr: 0.0007, L-val: 0.6190
166: Acc-tr: 100.00, Acc-val:  85.85, L-tr: 0.0007, L-val: 0.6162
167: Acc-tr: 100.00, Acc-val:  85.80, L-tr: 0.0006, L-val: 0.6191
168: Acc-tr: 100.00, Acc-val:  85.92, L-tr: 0.0006, L-val: 0.6222
169: Acc-tr: 100.00, Acc-val:  85.82, L-tr: 0.0006, L-val: 0.6154
170: Acc-tr: 100.00, Acc-val:  85.83, L-tr: 0.0006, L-val: 0.6150
171: Acc-tr: 100.00, Acc-val:  86.03, L-tr: 0.0006, L-val: 0.6226
172: Acc-tr: 100.00, Acc-val:  85.90, L-tr: 0.0006, L-val: 0.6164
173: Acc-tr: 100.00, Acc-val:  86.04, L-tr: 0.0006, L-val: 0.6140
174: Acc-tr: 100.00, Acc-val:  85.84, L-tr: 0.0005, L-val: 0.6180
175: Acc-tr: 100.00, Acc-val:  85.94, L-tr: 0.0005, L-val: 0.6152
176: Acc-tr: 100.00, Acc-val:  85.94, L-tr: 0.0005, L-val: 0.6143
177: Acc-tr: 100.00, Acc-val:  85.97, L-tr: 0.0005, L-val: 0.6091
178: Acc-tr: 100.00, Acc-val:  86.04, L-tr: 0.0005, L-val: 0.6095
179: Acc-tr: 100.00, Acc-val:  86.07, L-tr: 0.0005, L-val: 0.6083
180: Acc-tr: 100.00, Acc-val:  86.03, L-tr: 0.0005, L-val: 0.6129
181: Acc-tr: 100.00, Acc-val:  85.96, L-tr: 0.0005, L-val: 0.6106
182: Acc-tr: 100.00, Acc-val:  85.94, L-tr: 0.0005, L-val: 0.6117
183: Acc-tr: 100.00, Acc-val:  85.86, L-tr: 0.0005, L-val: 0.6114
184: Acc-tr: 100.00, Acc-val:  85.84, L-tr: 0.0005, L-val: 0.6072
185: Acc-tr: 100.00, Acc-val:  85.97, L-tr: 0.0005, L-val: 0.6082
186: Acc-tr: 100.00, Acc-val:  85.96, L-tr: 0.0005, L-val: 0.6077
187: Acc-tr: 100.00, Acc-val:  86.08, L-tr: 0.0005, L-val: 0.6038
188: Acc-tr: 100.00, Acc-val:  86.13, L-tr: 0.0005, L-val: 0.6075
189: Acc-tr: 100.00, Acc-val:  86.03, L-tr: 0.0005, L-val: 0.6050
190: Acc-tr: 100.00, Acc-val:  85.88, L-tr: 0.0005, L-val: 0.6058
191: Acc-tr: 100.00, Acc-val:  86.06, L-tr: 0.0005, L-val: 0.6009
192: Acc-tr: 100.00, Acc-val:  85.92, L-tr: 0.0005, L-val: 0.5994
193: Acc-tr: 100.00, Acc-val:  85.96, L-tr: 0.0005, L-val: 0.6026
194: Acc-tr: 100.00, Acc-val:  86.03, L-tr: 0.0004, L-val: 0.6030
195: Acc-tr: 100.00, Acc-val:  86.08, L-tr: 0.0005, L-val: 0.5994
196: Acc-tr: 100.00, Acc-val:  86.03, L-tr: 0.0005, L-val: 0.6004
197: Acc-tr: 100.00, Acc-val:  86.01, L-tr: 0.0005, L-val: 0.5988
198: Acc-tr: 100.00, Acc-val:  85.98, L-tr: 0.0005, L-val: 0.5957
199: Acc-tr: 100.00, Acc-val:  86.03, L-tr: 0.0005, L-val: 0.5961
200: Acc-tr: 100.00, Acc-val:  85.93, L-tr: 0.0005, L-val: 0.5978
201: Acc-tr: 100.00, Acc-val:  85.94, L-tr: 0.0004, L-val: 0.5970
202: Acc-tr: 100.00, Acc-val:  85.92, L-tr: 0.0004, L-val: 0.5968
203: Acc-tr: 100.00, Acc-val:  85.94, L-tr: 0.0005, L-val: 0.5938
204: Acc-tr: 100.00, Acc-val:  85.87, L-tr: 0.0005, L-val: 0.5983
205: Acc-tr: 100.00, Acc-val:  85.98, L-tr: 0.0005, L-val: 0.5918
206: Acc-tr: 100.00, Acc-val:  85.86, L-tr: 0.0005, L-val: 0.5941
207: Acc-tr: 100.00, Acc-val:  86.10, L-tr: 0.0004, L-val: 0.5914
208: Acc-tr: 100.00, Acc-val:  86.12, L-tr: 0.0004, L-val: 0.5936
209: Acc-tr: 100.00, Acc-val:  85.90, L-tr: 0.0005, L-val: 0.5937
210: Acc-tr: 100.00, Acc-val:  85.94, L-tr: 0.0004, L-val: 0.5936
211: Acc-tr: 100.00, Acc-val:  85.99, L-tr: 0.0005, L-val: 0.5904
212: Acc-tr: 100.00, Acc-val:  86.05, L-tr: 0.0004, L-val: 0.5906
213: Acc-tr: 100.00, Acc-val:  86.20, L-tr: 0.0005, L-val: 0.5872
