000: Acc-tr:  58.58, Acc-val:  57.12, L-tr: 1.1676, L-val: 1.2036
001: Acc-tr:  66.53, Acc-val:  64.70, L-tr: 0.9566, L-val: 1.0202
002: Acc-tr:  70.45, Acc-val:  68.72, L-tr: 0.8370, L-val: 0.9127
003: Acc-tr:  77.64, Acc-val:  73.70, L-tr: 0.6330, L-val: 0.7729
004: Acc-tr:  78.71, Acc-val:  74.04, L-tr: 0.5942, L-val: 0.7472
005: Acc-tr:  84.93, Acc-val:  79.04, L-tr: 0.4287, L-val: 0.6256
006: Acc-tr:  86.81, Acc-val:  79.76, L-tr: 0.3780, L-val: 0.6125
007: Acc-tr:  82.38, Acc-val:  75.59, L-tr: 0.5098, L-val: 0.7546
008: Acc-tr:  87.26, Acc-val:  78.96, L-tr: 0.3548, L-val: 0.6378
009: Acc-tr:  87.64, Acc-val:  78.97, L-tr: 0.3452, L-val: 0.6959
010: Acc-tr:  87.13, Acc-val:  78.89, L-tr: 0.3413, L-val: 0.6494
011: Acc-tr:  85.86, Acc-val:  76.88, L-tr: 0.4019, L-val: 0.7850
012: Acc-tr:  88.20, Acc-val:  77.61, L-tr: 0.3289, L-val: 0.7358
013: Acc-tr:  90.74, Acc-val:  79.64, L-tr: 0.2594, L-val: 0.6673
014: Acc-tr:  93.99, Acc-val:  81.86, L-tr: 0.1736, L-val: 0.6091
015: Acc-tr:  91.91, Acc-val:  79.45, L-tr: 0.2274, L-val: 0.6890
016: Acc-tr:  92.27, Acc-val:  80.45, L-tr: 0.2171, L-val: 0.6564
017: Acc-tr:  91.01, Acc-val:  78.67, L-tr: 0.2662, L-val: 0.8149
018: Acc-tr:  91.37, Acc-val:  78.26, L-tr: 0.2376, L-val: 0.7711
019: Acc-tr:  92.66, Acc-val:  80.49, L-tr: 0.2057, L-val: 0.7316
020: Acc-tr:  91.93, Acc-val:  79.21, L-tr: 0.2265, L-val: 0.7892
021: Acc-tr:  94.48, Acc-val:  81.06, L-tr: 0.1561, L-val: 0.7486
022: Acc-tr:  94.39, Acc-val:  80.74, L-tr: 0.1528, L-val: 0.7178
023: Acc-tr:  93.31, Acc-val:  80.08, L-tr: 0.1903, L-val: 0.7701
024: Acc-tr:  93.48, Acc-val:  80.25, L-tr: 0.1765, L-val: 0.7481
025: Acc-tr:  94.38, Acc-val:  80.21, L-tr: 0.1566, L-val: 0.7695
026: Acc-tr:  91.23, Acc-val:  78.16, L-tr: 0.2597, L-val: 0.8687
027: Acc-tr:  94.47, Acc-val:  80.64, L-tr: 0.1571, L-val: 0.7388
028: Acc-tr:  90.52, Acc-val:  77.98, L-tr: 0.2862, L-val: 0.9559
029: Acc-tr:  94.91, Acc-val:  80.38, L-tr: 0.1452, L-val: 0.8160
030: Acc-tr:  93.04, Acc-val:  78.60, L-tr: 0.2016, L-val: 0.8478
031: Acc-tr:  93.83, Acc-val:  80.35, L-tr: 0.1804, L-val: 0.8231
032: Acc-tr:  94.29, Acc-val:  80.29, L-tr: 0.1694, L-val: 0.8136
033: Acc-tr:  94.96, Acc-val:  81.52, L-tr: 0.1458, L-val: 0.7712
034: Acc-tr:  90.32, Acc-val:  78.12, L-tr: 0.2855, L-val: 0.9640
035: Acc-tr:  96.16, Acc-val:  81.16, L-tr: 0.1061, L-val: 0.7562
036: Acc-tr:  93.52, Acc-val:  79.64, L-tr: 0.1905, L-val: 0.8883
037: Acc-tr:  94.62, Acc-val:  80.43, L-tr: 0.1559, L-val: 0.8209
038: Acc-tr:  95.11, Acc-val:  80.42, L-tr: 0.1447, L-val: 0.8101
039: Acc-tr:  96.34, Acc-val:  81.19, L-tr: 0.1044, L-val: 0.7325
040: Acc-tr:  94.88, Acc-val:  80.08, L-tr: 0.1472, L-val: 0.8510
041: Acc-tr:  93.28, Acc-val:  79.34, L-tr: 0.1969, L-val: 0.8798
042: Acc-tr:  95.98, Acc-val:  81.12, L-tr: 0.1207, L-val: 0.7509
043: Acc-tr:  94.05, Acc-val:  80.36, L-tr: 0.1693, L-val: 0.8115
044: Acc-tr:  94.93, Acc-val:  79.39, L-tr: 0.1449, L-val: 0.8673
045: Acc-tr:  94.76, Acc-val:  80.88, L-tr: 0.1474, L-val: 0.7745
046: Acc-tr:  96.13, Acc-val:  81.11, L-tr: 0.1084, L-val: 0.8104
047: Acc-tr:  92.87, Acc-val:  78.43, L-tr: 0.2073, L-val: 0.8891
048: Acc-tr:  94.68, Acc-val:  80.13, L-tr: 0.1495, L-val: 0.7674
049: Acc-tr:  92.09, Acc-val:  78.26, L-tr: 0.2298, L-val: 0.9312
050: Acc-tr:  93.65, Acc-val:  79.71, L-tr: 0.1839, L-val: 0.8706
051: Acc-tr:  97.48, Acc-val:  82.04, L-tr: 0.0722, L-val: 0.7073
052: Acc-tr:  96.06, Acc-val:  81.49, L-tr: 0.1114, L-val: 0.7707
053: Acc-tr:  96.48, Acc-val:  81.72, L-tr: 0.0990, L-val: 0.7575
054: Acc-tr:  95.87, Acc-val:  80.84, L-tr: 0.1199, L-val: 0.8173
055: Acc-tr:  96.89, Acc-val:  81.87, L-tr: 0.0902, L-val: 0.7630
056: Acc-tr:  95.16, Acc-val:  80.79, L-tr: 0.1462, L-val: 0.8711
057: Acc-tr:  92.03, Acc-val:  77.45, L-tr: 0.2389, L-val: 1.0048
058: Acc-tr:  94.67, Acc-val:  79.48, L-tr: 0.1509, L-val: 0.8165
059: Acc-tr:  94.12, Acc-val:  79.07, L-tr: 0.1758, L-val: 0.8779
060: Acc-tr:  91.35, Acc-val:  77.57, L-tr: 0.2610, L-val: 0.9772
061: Acc-tr:  94.21, Acc-val:  79.76, L-tr: 0.1660, L-val: 0.8709
062: Acc-tr:  93.89, Acc-val:  78.92, L-tr: 0.1789, L-val: 0.8970
063: Acc-tr:  95.44, Acc-val:  80.21, L-tr: 0.1312, L-val: 0.8363
064: Acc-tr:  93.43, Acc-val:  78.59, L-tr: 0.1939, L-val: 0.8776
065: Acc-tr:  93.65, Acc-val:  79.21, L-tr: 0.1772, L-val: 0.8313
066: Acc-tr:  91.88, Acc-val:  78.13, L-tr: 0.2489, L-val: 1.0022
067: Acc-tr:  96.81, Acc-val:  81.32, L-tr: 0.0905, L-val: 0.7833
068: Acc-tr:  96.97, Acc-val:  81.92, L-tr: 0.0874, L-val: 0.7639
069: Acc-tr:  96.89, Acc-val:  81.40, L-tr: 0.0876, L-val: 0.7531
070: Acc-tr:  88.78, Acc-val:  76.15, L-tr: 0.3811, L-val: 1.1527
071: Acc-tr:  94.66, Acc-val:  79.98, L-tr: 0.1514, L-val: 0.8317
072: Acc-tr:  89.77, Acc-val:  75.24, L-tr: 0.3600, L-val: 1.2649
073: Acc-tr:  95.54, Acc-val:  80.71, L-tr: 0.1329, L-val: 0.8284
074: Acc-tr:  95.66, Acc-val:  81.04, L-tr: 0.1189, L-val: 0.7928
075: Acc-tr:  94.71, Acc-val:  80.65, L-tr: 0.1524, L-val: 0.8270
076: Acc-tr:  91.25, Acc-val:  77.29, L-tr: 0.2766, L-val: 1.0651
077: Acc-tr:  95.47, Acc-val:  81.11, L-tr: 0.1269, L-val: 0.8107
078: Acc-tr:  96.64, Acc-val:  81.32, L-tr: 0.0972, L-val: 0.7523
079: Acc-tr:  93.33, Acc-val:  78.52, L-tr: 0.1916, L-val: 0.9371
080: Acc-tr:  95.78, Acc-val:  80.62, L-tr: 0.1215, L-val: 0.8297
081: Acc-tr:  94.20, Acc-val:  79.62, L-tr: 0.1714, L-val: 0.9399
082: Acc-tr:  97.24, Acc-val:  81.93, L-tr: 0.0815, L-val: 0.6732
083: Acc-tr:  95.21, Acc-val:  80.12, L-tr: 0.1395, L-val: 0.8241
084: Acc-tr:  95.37, Acc-val:  81.46, L-tr: 0.1329, L-val: 0.8503
085: Acc-tr:  93.00, Acc-val:  79.56, L-tr: 0.2096, L-val: 0.9219
086: Acc-tr:  96.42, Acc-val:  81.17, L-tr: 0.1012, L-val: 0.8392
087: Acc-tr:  97.06, Acc-val:  82.04, L-tr: 0.0858, L-val: 0.7490
088: Acc-tr:  97.23, Acc-val:  82.04, L-tr: 0.0807, L-val: 0.7615
089: Acc-tr:  93.95, Acc-val:  79.51, L-tr: 0.1753, L-val: 0.9337
090: Acc-tr:  96.52, Acc-val:  81.77, L-tr: 0.1000, L-val: 0.7647
091: Acc-tr:  96.72, Acc-val:  81.80, L-tr: 0.0953, L-val: 0.7665
092: Acc-tr:  96.93, Acc-val:  82.83, L-tr: 0.0865, L-val: 0.7475
093: Acc-tr:  97.00, Acc-val:  82.02, L-tr: 0.0876, L-val: 0.7228
094: Acc-tr:  94.96, Acc-val:  80.19, L-tr: 0.1433, L-val: 0.8214
095: Acc-tr:  95.34, Acc-val:  80.39, L-tr: 0.1376, L-val: 0.8403
096: Acc-tr:  93.56, Acc-val:  79.29, L-tr: 0.2026, L-val: 0.9632
097: Acc-tr:  95.17, Acc-val:  80.22, L-tr: 0.1367, L-val: 0.8582
098: Acc-tr:  95.30, Acc-val:  80.63, L-tr: 0.1335, L-val: 0.8228
099: Acc-tr:  97.73, Acc-val:  82.39, L-tr: 0.0652, L-val: 0.7297
100: Acc-tr:  96.03, Acc-val:  80.37, L-tr: 0.1126, L-val: 0.7401
101: Acc-tr:  93.61, Acc-val:  79.65, L-tr: 0.1852, L-val: 0.8920
102: Acc-tr:  96.49, Acc-val:  81.48, L-tr: 0.1009, L-val: 0.8184
103: Acc-tr:  96.04, Acc-val:  81.04, L-tr: 0.1090, L-val: 0.8104
104: Acc-tr:  97.09, Acc-val:  81.89, L-tr: 0.0844, L-val: 0.7842
105: Acc-tr:  96.59, Acc-val:  81.34, L-tr: 0.0963, L-val: 0.7842
106: Acc-tr:  95.12, Acc-val:  80.58, L-tr: 0.1411, L-val: 0.8510
107: Acc-tr:  93.15, Acc-val:  79.36, L-tr: 0.2079, L-val: 1.0176
108: Acc-tr:  93.02, Acc-val:  77.89, L-tr: 0.2147, L-val: 0.9475
109: Acc-tr:  94.69, Acc-val:  79.79, L-tr: 0.1553, L-val: 0.8523
110: Acc-tr:  96.02, Acc-val:  80.76, L-tr: 0.1115, L-val: 0.7801
111: Acc-tr:  90.39, Acc-val:  76.13, L-tr: 0.3057, L-val: 1.1571
112: Acc-tr:  94.17, Acc-val:  78.69, L-tr: 0.1770, L-val: 0.9178
113: Acc-tr:  97.45, Acc-val:  82.07, L-tr: 0.0744, L-val: 0.7420
114: Acc-tr:  95.57, Acc-val:  80.65, L-tr: 0.1243, L-val: 0.8049
115: Acc-tr:  95.91, Acc-val:  81.21, L-tr: 0.1174, L-val: 0.8223
116: Acc-tr:  95.15, Acc-val:  79.98, L-tr: 0.1421, L-val: 0.7881
117: Acc-tr:  97.33, Acc-val:  82.29, L-tr: 0.0766, L-val: 0.7392
118: Acc-tr:  94.91, Acc-val:  80.21, L-tr: 0.1483, L-val: 0.8043
119: Acc-tr:  96.15, Acc-val:  81.14, L-tr: 0.1106, L-val: 0.7728
120: Acc-tr:  96.40, Acc-val:  80.97, L-tr: 0.1022, L-val: 0.7656
121: Acc-tr:  95.90, Acc-val:  81.52, L-tr: 0.1213, L-val: 0.7963
122: Acc-tr:  93.54, Acc-val:  79.30, L-tr: 0.1823, L-val: 0.9765
123: Acc-tr:  96.16, Acc-val:  80.85, L-tr: 0.1076, L-val: 0.7915
124: Acc-tr:  92.96, Acc-val:  78.76, L-tr: 0.2154, L-val: 0.9771
125: Acc-tr:  94.27, Acc-val:  79.66, L-tr: 0.1761, L-val: 0.9001
126: Acc-tr:  94.35, Acc-val:  79.48, L-tr: 0.1631, L-val: 0.8978
127: Acc-tr:  95.82, Acc-val:  80.72, L-tr: 0.1216, L-val: 0.8610
128: Acc-tr:  94.73, Acc-val:  79.70, L-tr: 0.1533, L-val: 0.8547
129: Acc-tr:  94.17, Acc-val:  78.82, L-tr: 0.1717, L-val: 0.9214
130: Acc-tr:  96.26, Acc-val:  81.10, L-tr: 0.1058, L-val: 0.8029
131: Acc-tr:  96.65, Acc-val:  81.71, L-tr: 0.0950, L-val: 0.7819
132: Acc-tr:  96.50, Acc-val:  81.50, L-tr: 0.0998, L-val: 0.7513
133: Acc-tr:  94.42, Acc-val:  79.14, L-tr: 0.1618, L-val: 0.8689
134: Acc-tr:  96.22, Acc-val:  80.83, L-tr: 0.1078, L-val: 0.8949
135: Acc-tr:  93.55, Acc-val:  78.47, L-tr: 0.1893, L-val: 0.9780
136: Acc-tr:  94.91, Acc-val:  79.49, L-tr: 0.1497, L-val: 0.8897
137: Acc-tr:  95.59, Acc-val:  80.92, L-tr: 0.1236, L-val: 0.8281
138: Acc-tr:  95.15, Acc-val:  80.54, L-tr: 0.1400, L-val: 0.8376
139: Acc-tr:  92.94, Acc-val:  78.57, L-tr: 0.2215, L-val: 0.9100
140: Acc-tr:  96.43, Acc-val:  81.02, L-tr: 0.1040, L-val: 0.7719
141: Acc-tr:  96.97, Acc-val:  81.24, L-tr: 0.0882, L-val: 0.7840
142: Acc-tr:  96.84, Acc-val:  81.24, L-tr: 0.0914, L-val: 0.7475
143: Acc-tr:  94.80, Acc-val:  80.19, L-tr: 0.1560, L-val: 0.9331
144: Acc-tr:  94.72, Acc-val:  79.25, L-tr: 0.1494, L-val: 0.8543
145: Acc-tr:  95.70, Acc-val:  80.39, L-tr: 0.1224, L-val: 0.8589
146: Acc-tr:  97.42, Acc-val:  82.07, L-tr: 0.0744, L-val: 0.7459
147: Acc-tr:  94.01, Acc-val:  78.87, L-tr: 0.1819, L-val: 0.9050
148: Acc-tr:  95.52, Acc-val:  81.28, L-tr: 0.1337, L-val: 0.8302
149: Acc-tr:  96.44, Acc-val:  81.67, L-tr: 0.1008, L-val: 0.7637
150: Acc-tr:  99.98, Acc-val:  86.14, L-tr: 0.0053, L-val: 0.5672
151: Acc-tr: 100.00, Acc-val:  86.05, L-tr: 0.0030, L-val: 0.5744
152: Acc-tr: 100.00, Acc-val:  86.39, L-tr: 0.0022, L-val: 0.5736
153: Acc-tr: 100.00, Acc-val:  86.36, L-tr: 0.0018, L-val: 0.5774
154: Acc-tr: 100.00, Acc-val:  86.54, L-tr: 0.0015, L-val: 0.5802
155: Acc-tr: 100.00, Acc-val:  86.59, L-tr: 0.0013, L-val: 0.5780
156: Acc-tr: 100.00, Acc-val:  86.61, L-tr: 0.0012, L-val: 0.5778
