069: Acc-tr:  83.49, Acc-val:  50.05, L-tr: 0.5104, L-val: 2.5033
070: Acc-tr:  83.36, Acc-val:  49.47, L-tr: 0.5192, L-val: 2.6123
071: Acc-tr:  78.94, Acc-val:  47.89, L-tr: 0.6619, L-val: 2.7609
072: Acc-tr:  80.51, Acc-val:  48.24, L-tr: 0.6349, L-val: 2.7345
073: Acc-tr:  82.57, Acc-val:  49.94, L-tr: 0.5375, L-val: 2.6433
074: Acc-tr:  75.34, Acc-val:  45.01, L-tr: 0.8139, L-val: 2.9536
075: Acc-tr:  82.87, Acc-val:  48.59, L-tr: 0.5263, L-val: 2.5976
076: Acc-tr:  81.16, Acc-val:  48.13, L-tr: 0.5939, L-val: 2.7143
077: Acc-tr:  83.50, Acc-val:  49.77, L-tr: 0.5071, L-val: 2.4794
078: Acc-tr:  83.78, Acc-val:  49.77, L-tr: 0.5090, L-val: 2.5150
079: Acc-tr:  82.91, Acc-val:  49.11, L-tr: 0.5410, L-val: 2.7065
080: Acc-tr:  81.74, Acc-val:  49.08, L-tr: 0.5670, L-val: 2.6546
081: Acc-tr:  84.49, Acc-val:  50.32, L-tr: 0.4863, L-val: 2.5317
082: Acc-tr:  82.47, Acc-val:  48.81, L-tr: 0.5411, L-val: 2.6285
083: Acc-tr:  80.26, Acc-val:  47.60, L-tr: 0.6601, L-val: 2.8777
084: Acc-tr:  86.97, Acc-val:  50.78, L-tr: 0.4021, L-val: 2.4235
085: Acc-tr:  81.67, Acc-val:  48.02, L-tr: 0.5889, L-val: 2.8080
086: Acc-tr:  85.37, Acc-val:  49.34, L-tr: 0.4442, L-val: 2.6356
087: Acc-tr:  80.54, Acc-val:  47.62, L-tr: 0.6176, L-val: 2.7500
088: Acc-tr:  72.30, Acc-val:  43.34, L-tr: 0.9442, L-val: 3.1491
089: Acc-tr:  84.78, Acc-val:  49.59, L-tr: 0.4736, L-val: 2.6325
090: Acc-tr:  80.16, Acc-val:  47.12, L-tr: 0.6337, L-val: 2.9614
091: Acc-tr:  81.50, Acc-val:  47.70, L-tr: 0.5733, L-val: 2.7545
092: Acc-tr:  87.70, Acc-val:  51.46, L-tr: 0.3849, L-val: 2.3760
093: Acc-tr:  78.78, Acc-val:  47.72, L-tr: 0.6734, L-val: 2.8163
094: Acc-tr:  86.02, Acc-val:  49.60, L-tr: 0.4307, L-val: 2.4737
095: Acc-tr:  79.23, Acc-val:  47.63, L-tr: 0.6656, L-val: 2.8533
096: Acc-tr:  73.49, Acc-val:  45.17, L-tr: 0.9089, L-val: 3.0713
097: Acc-tr:  79.88, Acc-val:  48.63, L-tr: 0.6509, L-val: 2.8751
098: Acc-tr:  79.93, Acc-val:  46.90, L-tr: 0.6639, L-val: 2.9168
099: Acc-tr:  78.95, Acc-val:  47.03, L-tr: 0.7048, L-val: 2.9085
100: Acc-tr:  85.39, Acc-val:  49.63, L-tr: 0.4529, L-val: 2.6228
101: Acc-tr:  81.72, Acc-val:  48.39, L-tr: 0.5816, L-val: 2.7159
102: Acc-tr:  81.94, Acc-val:  47.77, L-tr: 0.5659, L-val: 2.7636
103: Acc-tr:  84.93, Acc-val:  50.01, L-tr: 0.4798, L-val: 2.5821
104: Acc-tr:  83.38, Acc-val:  47.85, L-tr: 0.5338, L-val: 2.7797
105: Acc-tr:  79.88, Acc-val:  47.12, L-tr: 0.6381, L-val: 2.8526
106: Acc-tr:  82.44, Acc-val:  47.50, L-tr: 0.5581, L-val: 2.8926
107: Acc-tr:  77.90, Acc-val:  45.44, L-tr: 0.7318, L-val: 3.0562
108: Acc-tr:  81.49, Acc-val:  48.00, L-tr: 0.5801, L-val: 2.7612
109: Acc-tr:  80.63, Acc-val:  48.06, L-tr: 0.6175, L-val: 2.7664
110: Acc-tr:  81.83, Acc-val:  47.26, L-tr: 0.5688, L-val: 2.8215
111: Acc-tr:  78.66, Acc-val:  46.62, L-tr: 0.6969, L-val: 2.8495
112: Acc-tr:  86.23, Acc-val:  50.27, L-tr: 0.4233, L-val: 2.6027
113: Acc-tr:  83.71, Acc-val:  48.87, L-tr: 0.5217, L-val: 2.7487
114: Acc-tr:  83.73, Acc-val:  48.28, L-tr: 0.5127, L-val: 2.7734
115: Acc-tr:  83.59, Acc-val:  47.71, L-tr: 0.5174, L-val: 2.6952
116: Acc-tr:  83.25, Acc-val:  47.72, L-tr: 0.5126, L-val: 2.7923
117: Acc-tr:  81.38, Acc-val:  48.15, L-tr: 0.5962, L-val: 2.8418
118: Acc-tr:  80.84, Acc-val:  47.02, L-tr: 0.6197, L-val: 2.9717
119: Acc-tr:  86.65, Acc-val:  49.78, L-tr: 0.4092, L-val: 2.6194
120: Acc-tr:  80.25, Acc-val:  45.98, L-tr: 0.6195, L-val: 2.8593
121: Acc-tr:  82.00, Acc-val:  47.78, L-tr: 0.5800, L-val: 2.9034
122: Acc-tr:  75.46, Acc-val:  44.00, L-tr: 0.8231, L-val: 3.2167
123: Acc-tr:  80.90, Acc-val:  47.28, L-tr: 0.6142, L-val: 2.7333
124: Acc-tr:  79.51, Acc-val:  46.50, L-tr: 0.6626, L-val: 2.9491
125: Acc-tr:  86.08, Acc-val:  48.89, L-tr: 0.4396, L-val: 2.6444
126: Acc-tr:  86.01, Acc-val:  50.23, L-tr: 0.4303, L-val: 2.6558
127: Acc-tr:  79.78, Acc-val:  46.03, L-tr: 0.6623, L-val: 2.9797
128: Acc-tr:  86.16, Acc-val:  49.68, L-tr: 0.4222, L-val: 2.6684
129: Acc-tr:  80.68, Acc-val:  47.22, L-tr: 0.6111, L-val: 2.8610
130: Acc-tr:  79.87, Acc-val:  46.50, L-tr: 0.6565, L-val: 2.8794
131: Acc-tr:  85.13, Acc-val:  48.41, L-tr: 0.4612, L-val: 2.6336
132: Acc-tr:  85.73, Acc-val:  49.82, L-tr: 0.4447, L-val: 2.6695
133: Acc-tr:  83.46, Acc-val:  48.72, L-tr: 0.5338, L-val: 2.9305
134: Acc-tr:  80.60, Acc-val:  46.43, L-tr: 0.6203, L-val: 2.9004
135: Acc-tr:  86.43, Acc-val:  50.12, L-tr: 0.4163, L-val: 2.5382
136: Acc-tr:  81.11, Acc-val:  46.82, L-tr: 0.5961, L-val: 2.8943
137: Acc-tr:  84.46, Acc-val:  48.91, L-tr: 0.4862, L-val: 2.6483
138: Acc-tr:  84.91, Acc-val:  48.32, L-tr: 0.4690, L-val: 2.7002
139: Acc-tr:  81.42, Acc-val:  48.18, L-tr: 0.5893, L-val: 2.9229
140: Acc-tr:  83.82, Acc-val:  48.44, L-tr: 0.5032, L-val: 2.8130
141: Acc-tr:  82.56, Acc-val:  48.06, L-tr: 0.5652, L-val: 2.8381
142: Acc-tr:  84.85, Acc-val:  48.81, L-tr: 0.4815, L-val: 2.7143
143: Acc-tr:  74.75, Acc-val:  44.48, L-tr: 0.8648, L-val: 3.2302
144: Acc-tr:  75.80, Acc-val:  44.85, L-tr: 0.8131, L-val: 3.1364
145: Acc-tr:  85.59, Acc-val:  49.44, L-tr: 0.4463, L-val: 2.5971
146: Acc-tr:  86.78, Acc-val:  48.92, L-tr: 0.4044, L-val: 2.5993
147: Acc-tr:  80.33, Acc-val:  47.41, L-tr: 0.6356, L-val: 2.9195
148: Acc-tr:  84.35, Acc-val:  48.60, L-tr: 0.4864, L-val: 2.6747
149: Acc-tr:  87.27, Acc-val:  50.53, L-tr: 0.3981, L-val: 2.6691
150: Acc-tr:  99.71, Acc-val:  56.45, L-tr: 0.0401, L-val: 2.1374
151: Acc-tr:  99.91, Acc-val:  57.32, L-tr: 0.0255, L-val: 2.1516
152: Acc-tr:  99.96, Acc-val:  56.99, L-tr: 0.0189, L-val: 2.1799
153: Acc-tr:  99.97, Acc-val:  57.24, L-tr: 0.0158, L-val: 2.1815
154: Acc-tr:  99.97, Acc-val:  57.30, L-tr: 0.0136, L-val: 2.1936
155: Acc-tr:  99.98, Acc-val:  57.37, L-tr: 0.0119, L-val: 2.2055
156: Acc-tr:  99.98, Acc-val:  57.07, L-tr: 0.0109, L-val: 2.2132
157: Acc-tr:  99.98, Acc-val:  57.35, L-tr: 0.0097, L-val: 2.2306
158: Acc-tr:  99.98, Acc-val:  57.35, L-tr: 0.0090, L-val: 2.2261
159: Acc-tr:  99.98, Acc-val:  57.48, L-tr: 0.0084, L-val: 2.2409
160: Acc-tr:  99.98, Acc-val:  57.22, L-tr: 0.0079, L-val: 2.2450
161: Acc-tr:  99.98, Acc-val:  57.28, L-tr: 0.0076, L-val: 2.2457
162: Acc-tr:  99.98, Acc-val:  57.35, L-tr: 0.0072, L-val: 2.2431
163: Acc-tr:  99.98, Acc-val:  57.44, L-tr: 0.0070, L-val: 2.2407
164: Acc-tr:  99.98, Acc-val:  57.23, L-tr: 0.0067, L-val: 2.2526
165: Acc-tr:  99.98, Acc-val:  57.38, L-tr: 0.0065, L-val: 2.2508
166: Acc-tr:  99.98, Acc-val:  57.09, L-tr: 0.0062, L-val: 2.2530
167: Acc-tr:  99.98, Acc-val:  57.39, L-tr: 0.0060, L-val: 2.2543
168: Acc-tr:  99.98, Acc-val:  57.18, L-tr: 0.0058, L-val: 2.2576
169: Acc-tr:  99.98, Acc-val:  57.22, L-tr: 0.0057, L-val: 2.2544
170: Acc-tr:  99.98, Acc-val:  57.25, L-tr: 0.0055, L-val: 2.2593
171: Acc-tr:  99.98, Acc-val:  57.16, L-tr: 0.0054, L-val: 2.2595
172: Acc-tr:  99.98, Acc-val:  57.01, L-tr: 0.0054, L-val: 2.2489
173: Acc-tr:  99.98, Acc-val:  57.11, L-tr: 0.0053, L-val: 2.2515
174: Acc-tr:  99.98, Acc-val:  57.16, L-tr: 0.0052, L-val: 2.2546
175: Acc-tr:  99.98, Acc-val:  57.09, L-tr: 0.0051, L-val: 2.2509
176: Acc-tr:  99.98, Acc-val:  57.11, L-tr: 0.0052, L-val: 2.2444
177: Acc-tr:  99.98, Acc-val:  57.19, L-tr: 0.0049, L-val: 2.2503
