000: Acc-tr:  12.49, Acc-val:  11.81, L-tr: 3.6397, L-val: 3.6806
001: Acc-tr:  21.73, Acc-val:  21.02, L-tr: 3.1562, L-val: 3.2268
002: Acc-tr:  33.57, Acc-val:  31.69, L-tr: 2.4840, L-val: 2.5858
003: Acc-tr:  37.39, Acc-val:  35.16, L-tr: 2.3291, L-val: 2.4836
004: Acc-tr:  44.69, Acc-val:  40.47, L-tr: 2.0008, L-val: 2.2160
005: Acc-tr:  47.11, Acc-val:  42.46, L-tr: 1.9040, L-val: 2.1540
006: Acc-tr:  45.92, Acc-val:  40.19, L-tr: 1.9736, L-val: 2.2674
007: Acc-tr:  54.79, Acc-val:  46.98, L-tr: 1.5571, L-val: 1.9289
008: Acc-tr:  55.38, Acc-val:  46.35, L-tr: 1.5409, L-val: 1.9657
009: Acc-tr:  58.68, Acc-val:  48.34, L-tr: 1.4343, L-val: 1.9483
010: Acc-tr:  61.95, Acc-val:  49.64, L-tr: 1.3009, L-val: 1.8685
011: Acc-tr:  60.90, Acc-val:  48.13, L-tr: 1.3196, L-val: 1.9631
012: Acc-tr:  60.12, Acc-val:  47.13, L-tr: 1.3526, L-val: 2.0262
013: Acc-tr:  63.33, Acc-val:  49.03, L-tr: 1.2442, L-val: 2.0397
014: Acc-tr:  63.45, Acc-val:  48.13, L-tr: 1.2199, L-val: 2.0370
015: Acc-tr:  67.73, Acc-val:  49.80, L-tr: 1.0678, L-val: 1.9355
016: Acc-tr:  69.46, Acc-val:  51.31, L-tr: 1.0051, L-val: 1.8582
017: Acc-tr:  69.12, Acc-val:  50.02, L-tr: 1.0124, L-val: 2.0010
018: Acc-tr:  70.15, Acc-val:  50.68, L-tr: 0.9783, L-val: 1.9796
019: Acc-tr:  70.92, Acc-val:  50.53, L-tr: 0.9374, L-val: 2.0175
020: Acc-tr:  69.53, Acc-val:  49.89, L-tr: 0.9963, L-val: 2.1197
021: Acc-tr:  69.64, Acc-val:  49.07, L-tr: 0.9906, L-val: 2.1638
022: Acc-tr:  70.61, Acc-val:  48.83, L-tr: 0.9466, L-val: 2.2048
023: Acc-tr:  73.23, Acc-val:  50.38, L-tr: 0.8547, L-val: 2.1335
024: Acc-tr:  71.45, Acc-val:  48.75, L-tr: 0.9221, L-val: 2.2290
025: Acc-tr:  77.47, Acc-val:  51.48, L-tr: 0.7167, L-val: 2.0470
026: Acc-tr:  75.24, Acc-val:  49.72, L-tr: 0.7799, L-val: 2.1256
027: Acc-tr:  75.12, Acc-val:  50.03, L-tr: 0.7842, L-val: 2.2347
028: Acc-tr:  76.94, Acc-val:  50.63, L-tr: 0.7334, L-val: 2.2370
029: Acc-tr:  77.75, Acc-val:  50.13, L-tr: 0.6961, L-val: 2.1618
030: Acc-tr:  74.15, Acc-val:  48.52, L-tr: 0.8270, L-val: 2.4468
031: Acc-tr:  74.96, Acc-val:  48.32, L-tr: 0.7915, L-val: 2.4671
032: Acc-tr:  74.28, Acc-val:  49.08, L-tr: 0.8470, L-val: 2.5515
033: Acc-tr:  80.07, Acc-val:  49.76, L-tr: 0.6173, L-val: 2.4017
034: Acc-tr:  72.75, Acc-val:  47.18, L-tr: 0.8755, L-val: 2.5183
