000: Acc-tr:  59.89, Acc-val:  59.01, L-tr: 1.1491, L-val: 1.1794
001: Acc-tr:  70.86, Acc-val:  68.70, L-tr: 0.8266, L-val: 0.8940
002: Acc-tr:  73.00, Acc-val:  71.16, L-tr: 0.7782, L-val: 0.8674
003: Acc-tr:  78.26, Acc-val:  74.35, L-tr: 0.6163, L-val: 0.7423
004: Acc-tr:  80.07, Acc-val:  75.50, L-tr: 0.5830, L-val: 0.7591
005: Acc-tr:  83.93, Acc-val:  78.48, L-tr: 0.4606, L-val: 0.6633
006: Acc-tr:  84.94, Acc-val:  79.01, L-tr: 0.4244, L-val: 0.6358
007: Acc-tr:  89.11, Acc-val:  81.88, L-tr: 0.3120, L-val: 0.5663
008: Acc-tr:  88.03, Acc-val:  79.46, L-tr: 0.3442, L-val: 0.6330
009: Acc-tr:  90.17, Acc-val:  81.06, L-tr: 0.2866, L-val: 0.5930
010: Acc-tr:  90.33, Acc-val:  80.51, L-tr: 0.2719, L-val: 0.6175
011: Acc-tr:  91.24, Acc-val:  81.18, L-tr: 0.2510, L-val: 0.5944
012: Acc-tr:  91.39, Acc-val:  80.72, L-tr: 0.2413, L-val: 0.6315
013: Acc-tr:  93.87, Acc-val:  82.07, L-tr: 0.1763, L-val: 0.5785
014: Acc-tr:  92.96, Acc-val:  81.13, L-tr: 0.2060, L-val: 0.5922
015: Acc-tr:  87.25, Acc-val:  76.87, L-tr: 0.3747, L-val: 0.8439
016: Acc-tr:  90.82, Acc-val:  79.80, L-tr: 0.2527, L-val: 0.7150
017: Acc-tr:  89.74, Acc-val:  79.07, L-tr: 0.2857, L-val: 0.7847
018: Acc-tr:  91.29, Acc-val:  79.28, L-tr: 0.2442, L-val: 0.7535
019: Acc-tr:  91.52, Acc-val:  79.29, L-tr: 0.2351, L-val: 0.7087
020: Acc-tr:  94.47, Acc-val:  81.48, L-tr: 0.1562, L-val: 0.6846
021: Acc-tr:  92.50, Acc-val:  79.97, L-tr: 0.2153, L-val: 0.7784
022: Acc-tr:  94.21, Acc-val:  80.23, L-tr: 0.1676, L-val: 0.7369
023: Acc-tr:  96.20, Acc-val:  82.65, L-tr: 0.1083, L-val: 0.6436
