000: Acc-tr:  13.32, Acc-val:  12.92, L-tr: 3.6161, L-val: 3.6413
001: Acc-tr:  22.13, Acc-val:  21.40, L-tr: 3.0710, L-val: 3.1265
002: Acc-tr:  32.19, Acc-val:  30.62, L-tr: 2.5748, L-val: 2.6697
003: Acc-tr:  38.82, Acc-val:  35.94, L-tr: 2.2633, L-val: 2.4102
004: Acc-tr:  41.11, Acc-val:  37.56, L-tr: 2.1685, L-val: 2.3834
005: Acc-tr:  44.82, Acc-val:  40.05, L-tr: 2.0458, L-val: 2.3138
006: Acc-tr:  51.08, Acc-val:  44.70, L-tr: 1.7433, L-val: 2.0611
007: Acc-tr:  53.37, Acc-val:  46.16, L-tr: 1.6357, L-val: 2.0013
008: Acc-tr:  52.51, Acc-val:  44.15, L-tr: 1.6527, L-val: 2.1150
009: Acc-tr:  57.35, Acc-val:  47.38, L-tr: 1.4761, L-val: 1.9799
010: Acc-tr:  55.70, Acc-val:  45.35, L-tr: 1.5283, L-val: 2.0853
011: Acc-tr:  60.95, Acc-val:  48.34, L-tr: 1.3213, L-val: 1.9356
012: Acc-tr:  66.07, Acc-val:  51.47, L-tr: 1.1538, L-val: 1.8186
013: Acc-tr:  63.47, Acc-val:  49.55, L-tr: 1.2199, L-val: 2.0078
014: Acc-tr:  63.82, Acc-val:  48.54, L-tr: 1.2116, L-val: 2.0118
015: Acc-tr:  66.22, Acc-val:  50.95, L-tr: 1.1320, L-val: 1.9707
016: Acc-tr:  68.52, Acc-val:  50.89, L-tr: 1.0481, L-val: 1.9248
017: Acc-tr:  70.52, Acc-val:  51.46, L-tr: 0.9523, L-val: 1.8948
018: Acc-tr:  68.68, Acc-val:  50.05, L-tr: 1.0380, L-val: 1.9912
019: Acc-tr:  69.74, Acc-val:  50.00, L-tr: 0.9712, L-val: 1.9927
020: Acc-tr:  67.55, Acc-val:  48.59, L-tr: 1.0588, L-val: 2.1744
021: Acc-tr:  71.98, Acc-val:  49.92, L-tr: 0.9153, L-val: 2.1083
022: Acc-tr:  72.96, Acc-val:  50.68, L-tr: 0.8824, L-val: 2.0312
023: Acc-tr:  75.10, Acc-val:  51.02, L-tr: 0.7969, L-val: 2.0577
024: Acc-tr:  66.57, Acc-val:  46.73, L-tr: 1.1230, L-val: 2.3759
025: Acc-tr:  70.55, Acc-val:  48.15, L-tr: 0.9593, L-val: 2.2851
026: Acc-tr:  74.31, Acc-val:  49.99, L-tr: 0.8265, L-val: 2.1579
027: Acc-tr:  76.04, Acc-val:  49.99, L-tr: 0.7601, L-val: 2.1365
028: Acc-tr:  76.79, Acc-val:  50.45, L-tr: 0.7294, L-val: 2.2440
